epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
88,3594.47,1.32644,0.65555,0.00295,0.9033,0.72419,0.77555,0.47067,1.57449,0.93535,0.00442,0.0002774,0.0002774,0.0002774
89,3628.87,1.40122,0.71313,0.00299,0.9021,0.71433,0.77618,0.46686,1.5851,0.94593,0.00451,0.0002576,0.0002576,0.0002576
90,3664.62,1.37001,0.68175,0.00297,0.88901,0.68992,0.77706,0.47286,1.55848,0.96969,0.0044,0.0002378,0.0002378,0.0002378
91,3703.4,1.30014,0.61056,0.00301,0.86788,0.72868,0.77339,0.46531,1.58403,0.96993,0.00448,0.000218,0.000218,0.000218
92,3737.96,1.29852,0.60719,0.00309,0.89742,0.67816,0.77328,0.45955,1.58513,0.98456,0.00453,0.0001982,0.0001982,0.0001982
93,3769.87,1.2745,0.61234,0.00301,0.8634,0.73498,0.77865,0.46692,1.56864,0.96381,0.00446,0.0001784,0.0001784,0.0001784
94,3802.55,1.25812,0.60143,0.00287,0.87492,0.73643,0.77861,0.46735,1.58814,0.9483,0.00448,0.0001586,0.0001586,0.0001586
95,3836.31,1.25005,0.60063,0.00293,0.87701,0.72868,0.77884,0.46715,1.59118,0.9509,0.00449,0.0001388,0.0001388,0.0001388
96,3874.2,1.27594,0.58989,0.00284,0.8935,0.70543,0.76603,0.46372,1.59437,0.96555,0.0045,0.000119,0.000119,0.000119
97,3913.2,1.25346,0.57371,0.00293,0.90793,0.69767,0.76703,0.4652,1.59029,0.96369,0.00449,9.92e-05,9.92e-05,9.92e-05
98,3958.97,1.25398,0.58898,0.00285,0.91769,0.68992,0.76317,0.46531,1.58207,0.96367,0.0045,7.94e-05,7.94e-05,7.94e-05
99,3997.37,1.25123,0.57818,0.00295,0.9187,0.70076,0.76405,0.46502,1.58678,0.96312,0.00454,5.96e-05,5.96e-05,5.96e-05
100,4042.15,1.25381,0.56974,0.00294,0.92173,0.68992,0.76273,0.46435,1.58595,0.96548,0.00452,3.98e-05,3.98e-05,3.98e-05
